ID;FIRST_NAME;LAST_NAME;GENDER;CREDIT;BIRTHDATE;ROLE_N;PASSWORD_N
1;Emad; Barsa;male;0;26-08-1991;DRIVER;123456789
2;Bassel; Horva;male;400;26-09-1991;ADMIN;123456789
3;Moayad; Schn;male;500;26-06-1991;USER;123456789
4;Naef; Barsa;male;600;10-05-1991;USER;123456789
5;Andras; Béle;male;700;30-06-1989;ADMIN;123456789
6;Ahmad; Barsa;male;800;04-06-1991;USER;123456789
7;Jack; lidona;male;985;16-12-2000;USER;123456789
8;John; Crista;male;258;17-10-2001;USER;123456789
9;Peter; zortalova;male;120;18-06-1993;DRIVER;123456789
10;Zoltan; krostan;male;320;19-06-1994;DRIVER;123456789
11;Zita; titha;female;800;26-06-1997;DRIVER;123456789
12;christina; gour;female;100;20-06-1995;DRIVER;123456789
13;Anaa; moldo;female;100;27-04-1999;DRIVER;123456789
15;Gina; helte;female;4500;08-11-2001;USER;123456789
16;karem; zoth;male;560;08-11-1995;DRIVER;123456789
17;fared; khawaja;male;450;08-11-1996;DRIVER;123456789
18;John; moldo;male;800;08-11-2001;USER;123456789
